"_id","type","properties","geometry"
"65f1a72d24cfb376c41da3a6","Feature","{""GRID_ID"":""N-8"",""ORIGIN_ID"":66,""LAT"":1.292609207,""LONG"":103.845728405,""COORD"":""(103.845728405, 1.292609207)""}","{""type"":""Point"",""coordinates"":[103.84572840500005,1.292609207000055]}"
"65f1a72d24cfb376c41da3a8","Feature","{""GRID_ID"":""P-8"",""ORIGIN_ID"":68,""LAT"":1.292609207,""LONG"":103.848096138,""COORD"":""(103.848096138, 1.292609207)""}","{""type"":""Point"",""coordinates"":[103.84809613800007,1.292609207000055]}"
"65f1a72d24cfb376c41da3aa","Feature","{""GRID_ID"":""B-7"",""ORIGIN_ID"":70,""LAT"":1.293976218,""LONG"":103.831522007,""COORD"":""(103.831522007, 1.293976218)""}","{""type"":""Point"",""coordinates"":[103.83152200700005,1.293976218000068]}"
"65f1a72d24cfb376c41da3b3","Feature","{""GRID_ID"":""Q-7"",""ORIGIN_ID"":79,""LAT"":1.293292713,""LONG"":103.849280005,""COORD"":""(103.849280005, 1.293292713)""}","{""type"":""Point"",""coordinates"":[103.84928000500008,1.293292713000028]}"
"65f1a72d24cfb376c41da3b6","Feature","{""GRID_ID"":""B-6"",""ORIGIN_ID"":82,""LAT"":1.29534323,""LONG"":103.831522007,""COORD"":""(103.831522007, 1.29534323)""}","{""type"":""Point"",""coordinates"":[103.83152200700005,1.295343230000071]}"
"65f1a72d24cfb376c41da3b7","Feature","{""GRID_ID"":""C-6"",""ORIGIN_ID"":83,""LAT"":1.294659724,""LONG"":103.832705873,""COORD"":""(103.832705873, 1.294659724)""}","{""type"":""Point"",""coordinates"":[103.83270587300007,1.294659724000041]}"
"65f1a72d24cfb376c41da3bb","Feature","{""GRID_ID"":""N-6"",""ORIGIN_ID"":87,""LAT"":1.29534323,""LONG"":103.845728405,""COORD"":""(103.845728405, 1.29534323)""}","{""type"":""Point"",""coordinates"":[103.84572840500005,1.295343230000071]}"
"65f1a72d24cfb376c41da3bc","Feature","{""GRID_ID"":""O-6"",""ORIGIN_ID"":88,""LAT"":1.294659724,""LONG"":103.846912272,""COORD"":""(103.846912272, 1.294659724)""}","{""type"":""Point"",""coordinates"":[103.84691227200005,1.294659724000041]}"
"65f1a72d24cfb376c41da3c2","Feature","{""GRID_ID"":""B-5"",""ORIGIN_ID"":94,""LAT"":1.296710241,""LONG"":103.831522007,""COORD"":""(103.831522007, 1.296710241)""}","{""type"":""Point"",""coordinates"":[103.83152200700005,1.296710241000028]}"
"65f1a72d24cfb376c41da3c5","Feature","{""GRID_ID"":""L-5"",""ORIGIN_ID"":97,""LAT"":1.296710241,""LONG"":103.843360672,""COORD"":""(103.843360672, 1.296710241)""}","{""type"":""Point"",""coordinates"":[103.84336067200007,1.296710241000028]}"
"65f1a72d24cfb376c41da3ca","Feature","{""GRID_ID"":""Q-5"",""ORIGIN_ID"":102,""LAT"":1.296026735,""LONG"":103.849280005,""COORD"":""(103.849280005, 1.296026735)""}","{""type"":""Point"",""coordinates"":[103.84928000500008,1.296026735000055]}"
"65f1a72d24cfb376c41da3d2","Feature","{""GRID_ID"":""O-4"",""ORIGIN_ID"":110,""LAT"":1.297393747,""LONG"":103.846912272,""COORD"":""(103.846912272, 1.297393747)""}","{""type"":""Point"",""coordinates"":[103.84691227200005,1.297393747000058]}"
"65f1a72d24cfb376c41da3d7","Feature","{""GRID_ID"":""J-3"",""ORIGIN_ID"":115,""LAT"":1.299444264,""LONG"":103.840992939,""COORD"":""(103.840992939, 1.299444264)""}","{""type"":""Point"",""coordinates"":[103.84099293900005,1.299444264000044]}"
"65f1a72d24cfb376c41da3da","Feature","{""GRID_ID"":""M-3"",""ORIGIN_ID"":118,""LAT"":1.298760758,""LONG"":103.844544539,""COORD"":""(103.844544539, 1.298760758)""}","{""type"":""Point"",""coordinates"":[103.84454453900008,1.298760758000071]}"
"65f1a72d24cfb376c41da3dc","Feature","{""GRID_ID"":""O-3"",""ORIGIN_ID"":120,""LAT"":1.298760758,""LONG"":103.846912272,""COORD"":""(103.846912272, 1.298760758)""}","{""type"":""Point"",""coordinates"":[103.84691227200005,1.298760758000071]}"
"65f1a72d24cfb376c41da3e0","Feature","{""GRID_ID"":""M-2"",""ORIGIN_ID"":124,""LAT"":1.300127769,""LONG"":103.844544539,""COORD"":""(103.844544539, 1.300127769)""}","{""type"":""Point"",""coordinates"":[103.84454453900008,1.300127769000028]}"
"65f1a72d24cfb376c41da3e1","Feature","{""GRID_ID"":""N-2"",""ORIGIN_ID"":125,""LAT"":1.300811275,""LONG"":103.845728405,""COORD"":""(103.845728405, 1.300811275)""}","{""type"":""Point"",""coordinates"":[103.84572840500005,1.300811275000058]}"
"65f1a72d24cfb376c41da368","Feature","{""GRID_ID"":""Q-13"",""ORIGIN_ID"":4,""LAT"":1.285090645,""LONG"":103.849280005,""COORD"":""(103.849280005, 1.285090645)""}","{""type"":""Point"",""coordinates"":[103.84928000500008,1.285090645000025]}"
"65f1a72d24cfb376c41da370","Feature","{""GRID_ID"":""P-12"",""ORIGIN_ID"":12,""LAT"":1.287141162,""LONG"":103.848096138,""COORD"":""(103.848096138, 1.287141162)""}","{""type"":""Point"",""coordinates"":[103.84809613800007,1.287141162000069]}"
"65f1a72d24cfb376c41da372","Feature","{""GRID_ID"":""R-12"",""ORIGIN_ID"":14,""LAT"":1.287141162,""LONG"":103.850463871,""COORD"":""(103.850463871, 1.287141162)""}","{""type"":""Point"",""coordinates"":[103.85046387100004,1.287141162000069]}"
"65f1a72d24cfb376c41da375","Feature","{""GRID_ID"":""G-11"",""ORIGIN_ID"":17,""LAT"":1.287824668,""LONG"":103.837441339,""COORD"":""(103.837441339, 1.287824668)""}","{""type"":""Point"",""coordinates"":[103.83744133900007,1.287824668000042]}"
"65f1a72d24cfb376c41da37a","Feature","{""GRID_ID"":""M-11"",""ORIGIN_ID"":22,""LAT"":1.287824668,""LONG"":103.844544539,""COORD"":""(103.844544539, 1.287824668)""}","{""type"":""Point"",""coordinates"":[103.84454453900008,1.287824668000042]}"
"65f1a72d24cfb376c41da37f","Feature","{""GRID_ID"":""R-11"",""ORIGIN_ID"":27,""LAT"":1.288508173,""LONG"":103.850463871,""COORD"":""(103.850463871, 1.288508173)""}","{""type"":""Point"",""coordinates"":[103.85046387100004,1.288508173000025]}"
